,n_cells,highly_variable,highly_variable_rank,means,variances,variances_norm,targeted
ANGPT2,10256,True,92.0,0.07076187811601316,0.2620342791429815,3.374305726376425,0.0
ANGPTL4,135504,True,294.0,1.7497098983153463,6.174573991866049,1.7686958660731549,0.0
ANKRD1,3669,True,196.0,0.02227705742866709,0.05234605199411253,2.204925774770781,0.0
ANKRD10,48712,True,1435.0,0.2805111293555385,0.3678699780750144,1.0980349730341443,0.0
ANKRD29,34594,True,900.0,0.2036536759208722,0.2843026496003947,1.2025408170288816,0.0
ANKRD37,23397,True,1317.0,0.12061808858535869,0.15006460470947894,1.1135364394620597,0.0
ANLN,85354,True,293.0,0.8406711095414788,2.299410313464269,1.7830282360589673,0.0
ANP32E,164912,True,769.0,2.424227274603604,7.15959081343374,1.2564383197160476,0.0
ANPEP,17184,True,649.0,0.0973916074614612,0.14303792486748212,1.3214904837883041,0.0
ANTXR2,38783,True,1280.0,0.22207799951382168,0.290957066320441,1.1201320814767681,0.0
ANXA10,161129,True,455.0,2.601852064193884,9.524052049463066,1.497878813311369,0.0
ANXA3,149903,True,486.0,2.1533892591284567,6.9307752424457165,1.457210753911131,0.0
AP000692.2,4173,True,245.0,0.023923642484646398,0.049981260403803046,1.9603880558206677,0.0
AP001453.2,49808,True,861.0,0.30759951749095293,0.4523122855047244,1.21594414841753,0.0
AP002387.2,21194,True,1479.0,0.11121099680314823,0.13533462504708862,1.0916532234541385,0.0
AP002478.1,3426,True,978.0,0.016952028877157417,0.021242169747049056,1.1780329401238447,0.0
AP002884.1,38997,True,894.0,0.2318061524490086,0.327724753264211,1.2044092458490647,0.0
APCDD1L,42551,True,972.0,0.2555784375329661,0.35721153773086456,1.1804429374145693,0.0
APOBEC3G,68781,True,330.0,0.5237608186142083,1.1814355034690502,1.690485295798159,0.0
APOE,12044,True,183.0,0.07761424043811088,0.1934934907914997,2.260872903763021,1.0
APOL1,101502,True,848.0,0.8761070876542814,1.6601570668248213,1.2199936602799843,0.0
APOL2,114059,True,868.0,1.0619005902938627,2.1210157945992205,1.2131897152966793,0.0
APOL6,107476,True,697.0,1.0140074394455731,2.12658683496423,1.292732203644682,0.0
ARC,6335,True,31.0,0.04993876905153949,0.4136766563737607,7.692430815119251,0.0
AREG,51711,True,11.0,0.7145903947676205,21.100138591246477,17.438699420552183,0.0
ARF4,201776,True,1004.0,4.1571548477940805,15.810615460061905,1.1700915186267835,0.0
ARG2,3692,True,1494.0,0.018057396560976394,0.020951207790536358,1.090245125598997,0.0
ARHGAP11A,61756,True,562.0,0.44399088186325547,0.7932576603427132,1.386502338691375,0.0
ARHGAP29,35022,True,608.0,0.2166016135616231,0.3413629053395261,1.3501410749858103,0.0
ARHGDIB,2475,True,672.0,0.012998390107647218,0.018003185686270868,1.3064198920108587,0.0
ARID5B,27223,True,262.0,0.16315869135474048,0.34995347285368633,1.8975241468651267,0.0
ARL14,3830,True,39.0,0.026313254780371238,0.17339235163386818,6.13751142193267,0.0
ARL4C,123967,True,189.0,1.6951891279520426,7.408933722946478,2.22281767580496,0.0
ARL4D,61063,True,1318.0,0.385511886142542,0.5407288807113374,1.113395169169946,0.0
ARL6IP1,102406,True,119.0,1.4215349475065016,7.465010636869581,2.882141643538476,0.0
ARMC6,50314,False,,0.2829099148270627,0.32899539795093063,0.9726487233852082,1.0
ARPC1B,177052,True,1194.0,2.7256119654905127,7.751181098689358,1.1335839303720878,0.0
ASB4,4486,True,922.0,0.023414531227783714,0.029874734288949427,1.197217108945614,0.0
ASF1B,49937,True,1158.0,0.30863149976837734,0.42510611752981287,1.138424427614846,0.0
ASIP,547,True,803.0,0.0025960087512097124,0.0032680994883491485,1.2378346644987732,0.0
ASNS,50173,True,369.0,0.365129089516436,0.7343106025968943,1.6133463580111969,0.0
ASPHD1,11097,True,827.0,0.05793777834855316,0.07729412998405563,1.2279075171806668,0.0
ASPM,82968,True,133.0,1.0453521811518758,4.625859106860521,2.70159132079038,0.0
ATAD2,102483,True,734.0,0.9181339925789008,1.8343306469574565,1.2686469988453417,0.0
ATAD5,90560,True,1057.0,0.7132281781614204,1.202718385014054,1.1581752024322438,0.0
ATF3,14731,True,35.0,0.10487233232581286,0.759639190377843,6.507803017486048,0.0
ATF4,112203,True,474.0,1.0402656551711484,2.5043320879792077,1.472032943094943,0.0
ATF5,146039,True,235.0,2.1409229132171705,9.427293733269751,1.9995607878935668,0.0
ATOH8,8780,True,1063.0,0.04572369477174845,0.05674176697650628,1.1574165829517533,0.0
ATP1A1,152295,False,,1.4989336183133282,2.386396586033521,0.8548256779735827,1.0
ATP1B1,165883,True,1875.0,2.1494860728258427,5.005907322596445,1.0553906038151954,1.0
ATP2B4,23241,True,1358.0,0.12491113485944401,0.15473461950969744,1.1076204695435403,0.0
ATP5MD,179037,False,,2.5132437725602794,6.018046052331818,0.9988535204365264,1.0
ATXN1,41105,True,1466.0,0.23409485981094086,0.3006110851464558,1.0929999863374902,0.0
AURKA,124956,True,85.0,2.6736642709389202,23.909309957882602,3.603734071520462,0.0
AURKB,42418,True,590.0,0.2854829906387741,0.46620899440307983,1.3643257372163602,0.0
AVPI1,71070,True,928.0,0.48001394322721497,0.7507437679804253,1.1952396053060321,0.0
B2M,217428,True,402.0,46.53492457356199,1835.0677479604358,1.5601286357324475,1.0
BAG3,65681,True,1331.0,0.42166795855559175,0.5991164183635551,1.11171258644885,0.0
BAIAP2L2,13549,True,1483.0,0.0702481802712508,0.08409124999297497,1.0911873887808456,0.0
BAMBI,26743,True,1058.0,0.14561040605062675,0.18863945785878575,1.1579065187204076,0.0
